"Tabela 2094 - População residente por cor ou raça e religião"
"Variável - População residente (Pessoas)"
"Município";"Religião";"Ano x Cor ou raça"
"Município";"Religião";"2010"
"Município";"Religião";"Branca";"Preta";"Parda"
"1712801";"Total";"540";"212";"2174"
"1713205";"Total";"5234";"1800";"13205"
"1713304";"Total";"4019";"945";"7385"
"1713601";"Total";"776";"783";"5050"
"1713700";"Total";"704";"114";"1214"
"1713809";"Total";"1345";"477";"3904"
"1713957";"Total";"582";"491";"1918"
"1714203";"Total";"1477";"1350";"6088"
"1714302";"Total";"693";"411";"3186"
"1714880";"Total";"2223";"556";"7703"
"1715002";"Total";"751";"331";"2628"
"1715101";"Total";"588";"219";"2909"
"1715150";"Total";"564";"196";"1504"
"1715259";"Total";"384";"204";"1868"
"1715507";"Total";"253";"52";"731"
"1715705";"Total";"879";"206";"3828"
"1715754";"Total";"1875";"484";"4916"
"1716109";"Total";"14958";"2275";"26230"
"1716208";"Total";"773";"1836";"7316"
"1716307";"Total";"1115";"462";"2995"
"1716505";"Total";"2793";"799";"7629"
"1716604";"Total";"1757";"1501";"6896"
"1716653";"Total";"1398";"253";"3260"
"1716703";"Total";"3080";"772";"4693"
"1717008";"Total";"1148";"576";"2778"
"1717206";"Total";"562";"456";"1828"
"1717503";"Total";"1403";"444";"3944"
"1717800";"Total";"504";"236";"3690"
"1717909";"Total";"1269";"531";"5257"
"1718006";"Total";"337";"299";"2112"
"1718204";"Total";"11091";"6723";"29993"
"1718303";"Total";"1455";"935";"5112"
"1718402";"Total";"678";"224";"2734"
"1718451";"Total";"696";"221";"1433"
"1718501";"Total";"518";"318";"2898"
"1718550";"Total";"691";"942";"2458"
"1718659";"Total";"248";"169";"1271"
"1718709";"Total";"488";"115";"1913"
"1718758";"Total";"899";"251";"5017"
"1718808";"Total";"636";"452";"2658"
"1718840";"Total";"1063";"286";"1896"
"1718865";"Total";"1712";"530";"3973"
"1718881";"Total";"825";"169";"1881"
"1718899";"Total";"468";"244";"1389"
"1718907";"Total";"351";"521";"3614"
"1719004";"Total";"440";"344";"1718"
"1720002";"Total";"637";"232";"1606"
"1720101";"Total";"889";"577";"3082"
"1720150";"Total";"146";"216";"1010"
"1720200";"Total";"2095";"1496";"6718"
"1720259";"Total";"356";"363";"2064"
"1720309";"Total";"786";"522";"2881"
"1720499";"Total";"763";"744";"2579"
"1720655";"Total";"649";"917";"3484"
"1720804";"Total";"1770";"705";"6433"
"1720853";"Total";"472";"276";"978"
"1720903";"Total";"2499";"1120";"11109"
"1720937";"Total";"175";"163";"1571"
"1720978";"Total";"545";"326";"1612"
"1721000";"Total";"73058";"21646";"126675"
"1721109";"Total";"707";"278";"2875"
"1721208";"Total";"4705";"2102";"14508"
"1721257";"Total";"378";"174";"989"
"1721307";"Total";"366";"454";"1230"
"1722081";"Total";"2175";"694";"8078"
"1722107";"Total";"2430";"1418";"7226"
"2100055";"Total";"27162";"8292";"67501"
"2100105";"Total";"672";"394";"4720"
"2100154";"Total";"2651";"193";"8712"
"2100204";"Total";"3095";"5343";"13283"
"2100303";"Total";"3138";"2250";"18017"
"2100402";"Total";"2009";"436";"8348"
"2100436";"Total";"3613";"1896";"18906"
"2100477";"Total";"4891";"3056";"22744"
"2100501";"Total";"1441";"802";"8401"
"2100550";"Total";"1097";"254";"5050"
"2100600";"Total";"7001";"1671";"24312"
"2100709";"Total";"8778";"1178";"15281"
"2100808";"Total";"2223";"572";"11025"
"2100832";"Total";"2408";"1935";"10441"
"2100873";"Total";"2121";"1858";"9564"
"2100907";"Total";"8929";"2584";"30590"
"2100956";"Total";"6789";"2393";"19198"
"2101004";"Total";"9720";"2148";"16471"
"2101103";"Total";"1733";"1195";"8450"
"2101202";"Total";"23958";"13949";"60587"
"2101251";"Total";"3685";"1251";"9887"
"2101301";"Total";"1808";"4576";"9732"
"2101350";"Total";"324";"1616";"3262"
"2101400";"Total";"18414";"6835";"56557"
"2101509";"Total";"3788";"1762";"12054"
